날짜,식당,메뉴,가격,구매여부,밥안먹은이유
2017-01-01,,,,,
2017-01-02,요리수리,백반,6000,TRUE,
2017-01-03,남원추어탕,쭈꾸미돌솥밥,6000,TRUE,
2017-01-04,청원,굴짬뽕,7500,FALSE,
2017-01-05,태양생고기,오삼불고기,6000,TRUE,
2017-01-06,도마다리,뼈해장국,7000,TRUE,
2017-01-07,,,,,
2017-01-08,,,,,
2017-01-09,시루향기,콩나물국밥,6500,TRUE,
2017-01-10,할매순대국,순대국,5000,TRUE,
2017-01-11,청원,고추잡채밥,7500,TRUE,
2017-01-12,꽃피는한우,갈비탕,7000,FALSE,
2017-01-13,요리수리,백반,6000,TRUE,
2017-01-14,,,,,
2017-01-15,,,,,
2017-01-16,할매순대국,순대해장라면,5000,TRUE,
2017-01-17,청원,삼선간짜장,7500,FALSE,
2017-01-18,꽃피는한우,갈비탕,7000,FALSE,
2017-01-19,청원,간짜장곱배기,6500,FALSE,
2017-01-20,요리수리,백반,6000,FALSE,
2017-01-21,,,,,
2017-01-22,,,,,
2017-01-23,요리수리,백반,6000,TRUE,
2017-01-24,요리수리,백반,6000,TRUE,
2017-01-25,,,,,문화의날
2017-01-26,,,,,휴무
2017-01-27,,,,,설날
2017-01-28,,,,,
2017-01-29,,,,,
2017-01-30,,,,,대체휴무
2017-01-31,요리수리,백반,6000,TRUE,
2017-02-01,할매순대국,순대해장라면,5000,TRUE,
2017-02-02,요리수리,백반,6000,TRUE,
2017-02-03,요리수리,백반,6000,TRUE,
2017-02-04,,,,,
2017-02-05,,,,,
2017-02-06,가온맘,닭갈비백반,7000,TRUE,
2017-02-07,왕가네칼국수,바지락칼국수,7000,TRUE,
2017-02-08,요리수리,백반,6000,TRUE,
2017-02-09,청원,볶음밥,5500,TRUE,
2017-02-10,요리수리,백반,6000,TRUE,
2017-02-11,,,,,
2017-02-12,,,,,
2017-02-13,가온맘,칼제비,7000,TRUE,
2017-02-14,청원,간짜장,5500,FALSE,
2017-02-15,가온맘,보쌈정식,7000,TRUE,
2017-02-16,도마다리,뼈해장국,7000,TRUE,
2017-02-17,할매순대국,순대해장라면,5000,TRUE,
2017-02-18,,,,,
2017-02-19,,,,,
2017-02-20,김밥천국,"라볶이,김밥",7000,TRUE,
2017-02-21,할매순대국,순대해장라면,5000,TRUE,
2017-02-22,할매순대국,순대해장라면,5000,TRUE,
2017-02-23,,,,출장,
2017-02-24,요리수리,백반,6000,TRUE,
2017-02-25,,,,,
2017-02-26,,,,,
2017-02-27,카레비,카레,8000,TRUE,
2017-02-28,,,,,행사
2017-03-01,,,,,삼일절
2017-03-02,청원,삼선짬뽕,7500,,
2017-03-03,,,,,문화의날
2017-03-04,,,,,
2017-03-05,,,,,
2017-03-06,,,,,출장
2017-03-07,왕가네칼국수,바지락칼국수,7000,FALSE,
2017-03-08,,,,,출장
2017-03-09,할매순대국,순대해장라면,5000,,
2017-03-10,요리수리,백반,6000,,
2017-03-11,,,,,
2017-03-12,,,,,
2017-03-13,김밥천국,돌솥비빔밥,7000,,
2017-03-14,,,,,출장
2017-03-15,요리수리,백반,6000,,
2017-03-16,미스싸이공,볶음쌀국수,4900,,
2017-03-17,할매순대국,순대해장라면,5000,,
2017-03-18,,,,,
2017-03-19,,,,,
2017-03-20,김밥천국,짬봉라면,5000,,
2017-03-21,미스터순두부,햄치즈순두부,7000,,
2017-03-22,할매순대,수육국밥,6000,,
2017-03-23,할매순대,순대해장라면,5000,,
2017-03-24,할매순대,뼈해장ㅇ국,6000,,
2017-03-25,,,,,
2017-03-26,,,,,
2017-03-27,김밥천국,부대찌개,7000,FALSE,
2017-03-28,꽃피는한우,매운돈갈비찜,7000,,
2017-03-29,할매순대,순대해장라면,,FALSE,
2017-03-30,청원,삼선쟁반짜장,6500,,
2017-03-31,,,,,문화읜날
2017-04-01,,,,,
2017-04-02,,,,,
2017-04-03,,,,,출장
2017-04-04,미스싸이공,해물볶음밥곱배기,6900,,
2017-04-05,할매순대,황태해장국,5000,,
2017-04-06,청원,삼선간짜장,6500,FALSE,
2017-04-07,시루향기,콩나물국밥,6800,,
2017-04-08,,,,,
2017-04-09,,,,,
2017-04-10,편의점,"도시락,빵",5900,,
2017-04-11,청원,삼선우동,6500,FALSE,
2017-04-12,할매순대,순대국,5000,,
2017-04-13,미스싸이공,쌀국수곱배기,4900,,
2017-04-14,꽃피는한우,육개장,7000,,
2017-04-15,,,,,
2017-04-16,,,,,
2017-04-17,해오름,부대찌개,6000,,
2017-04-18,요리수리,백반,6000,,
2017-04-19,미스사이공,닭쌀국수곱배기,4900,,
2017-04-20,왕가네칼국수,바지락칼국수,6000,FALSE,
2017-04-21,,,,,휴가
2017-04-22,,,,,
2017-04-23,,,,,
2017-04-24,,,,,휴가
2017-04-25,,,,,휴가
2017-04-26,도마다리,뼈해장국,7000,,
2017-04-27,청원,우동,5000,,
2017-04-28,,,,,출장
2017-04-29,,,,,
2017-04-30,,,,,
2017-05-01,,,,,근로자의날
2017-05-02,청원,삼선우동,7500,FALSE,
2017-05-03,,,,,석가탄신일
2017-05-04,피코피코,런치,13000,FALSE,
2017-05-05,,,,,어린이날
2017-05-06,,,,,
2017-05-07,,,,,
2017-05-08,할매순대,순대해장라면,5000,,
2017-05-09,,,,,대선
2017-05-10,가온맘,보쌈정식,7000,,
2017-05-11,꽃피는한우,갈비탕,7000,,
2017-05-12,미스싸이공,소고기쌀국수,4900,,
2017-05-13,,,,,
2017-05-14,,,,,
2017-05-15,할매순대,순대해장라면,5000,,
2017-05-16,요리수리,백반,6000,,
2017-05-17,왕가네칼국수,바지락칼국수,6000,,
2017-05-18,도마다리,뼈해장국,7000,,
2017-05-19,멘타로,가츠돈,8500,,
2017-05-20,,,,,
2017-05-21,,,,,
2017-05-22,코코빈즈,등신돈까스,7500,,
2017-05-23,태양생고기,갈치조림,6000,,
2017-05-24,시루향기,콩나물국밥,6800,,
2017-05-25,해오름,메밀비빔막국수,6000,,
2017-05-26,,,,,문화의날
2017-05-27,,,,,
2017-05-28,,,,,
2017-05-29,할매순대,선지해장국,6000,,
2017-05-30,버거킹,붉은대게와퍼세트,5400,,
2017-05-31,청원,삼선간짜장,6500,FALSE,
2017-06-01,,,,,출장
2017-06-02,,,,,출장
2017-06-03,,,,,
2017-06-04,,,,,
2017-06-05,남원추어탕,쭈꾸미돌솥밥,6000,,
2017-06-06,,,,,현충일
2017-06-07,착한고기,제육뚝배기,6000,,
2017-06-08,도마다리,뼈해장국,7000,,
2017-06-09,코코빈즈,해물뚝배기파스타,10000,,
2017-06-10,,,,,
2017-06-11,,,,,
2017-06-12,미스터순두부,해물순두부,7000,,
2017-06-13,해오름,메밀물막국수,6000,,
2017-06-14,순흥골,불고기전골,8000,,
2017-06-15,청원,간짜장,5500,FALSE,
2017-06-16,꽃피는한우,갈비탕,7000,FALSE,
2017-06-17,,,,,
2017-06-18,,,,,
2017-06-19,청원,중국냉면,8000,FALSE,
2017-06-20,미스터순두부,해물순두부,7000,,
2017-06-21,태양생고기,징기스칸,6000,,
2017-06-22,순흥골,매생이떡국,6000,,
2017-06-23,도마다리,뼈해장국,7000,,
2017-06-24,,,,,
2017-06-25,,,,,
2017-06-26,꽃피는한우,매운돈갈비찜,7000,FALSE,
2017-06-27,청원,간짜장,5500,,
2017-06-28,할매순대,순대해장라면,5000,,
2017-06-29,국수나무,메밀소바,6000,FALSE,
2017-06-30,,,,,문화의날
2017-07-01,,,,,
2017-07-02,,,,,
2017-07-03,월남선생,해물볶음밥곱배기,6900,FALSE,
2017-07-04,요리수리,백반,6000,,
2017-07-05,태양생고기,징기스칸,6000,,
2017-07-06,남원추어탕,쭈꾸미돌솥밥,6000,,
2017-07-07,청원,간짜장,5500,,
2017-07-08,,,,,
2017-07-09,,,,,
2017-07-10,할매순대,순대해장라면,5000,FALSE,
2017-07-11,빕스,런치,15900,FALSE,
2017-07-12,도마다리,뼈해장국,7000,,
2017-07-13,당산떡볶이,"떡라면,진미김밥",7000,,
2017-07-14,육부장,뚝배기불고기,7000,,
2017-07-15,,,,,
2017-07-16,,,,,
2017-07-17,청원,새우볶음밥,7000,FALSE,
2017-07-18,순흥골,갈비탕,8000,,
2017-07-19,시루향기,콩나물국밥,6800,FALSE,
2017-07-20,왕가네칼국수,바지락칼국수,7000,FALSE,
2017-07-21,,,,,출장
2017-07-22,,,,,
2017-07-23,,,,,
2017-07-24,해오름,메밀물막국수,6000,FALSE,
2017-07-25,도마다리,알밥,6000,,
2017-07-26,할매순대,열무냉면,7000,,
2017-07-27,시루향기,콩나물국바,6800,,
2017-07-28,,,,,문화의날
2017-07-29,,,,,
2017-07-30,,,,,
2017-07-31,육부장,산채비빔밥,6000,FALSE,
2017-08-01,도마다리,뼈해장국,7000,,
2017-08-02,,,,,도시락
2017-08-03,시루향기,콩나물국밥,6500,,
2017-08-04,청원,간짜장곱배기,6500,,
2017-08-05,,,,,
2017-08-06,,,,,
2017-08-07,미스터순두부,해물순두부,7000,FALSE,
2017-08-08,요리수리,백반,6000,,
2017-08-09,국수나무,열무국수,6000,FALSE,
2017-08-10,청원,짬뽕,5500,,
2017-08-11,오마니국수,"닭국수,김밥",7500,,
2017-08-12,,,,,
2017-08-13,,,,,
2017-08-14,청원,삼선쟁반짜장,6500,FALSE,
2017-08-15,,,,,광복절
2017-08-16,태양생고기,징기스칸,6000,,
2017-08-17,미스사이공,소고기쌀국수,4900,,
2017-08-18,할매순대,순대해장라면,5000,,
2017-08-19,,,,,
2017-08-20,,,,,
2017-08-21,육부장,제육볶음,7000,,
2017-08-22,도마다리,뼈해장국,7000,,
2017-08-23,도마다리,알밥,6000,,
2017-08-24,김밥천국,"라면,참치김밥",6500,,
2017-08-25,청원,간짜장곱배기,6500,,
2017-08-26,,,,,
2017-08-27,,,,,
2017-08-28,왕가네칼국수,바지락칼국수,7000,FALSE,
2017-08-29,남원추어탕,쭈꾸미돌솥밥,6000,,
2017-08-30,시루향기,콩나물국밥,6500,,
2017-08-31,버거킹,뉴올리언스버거세트,5500,,
2017-09-01,,,,문화의날,
2017-09-02,,,,,
2017-09-03,,,,,
2017-09-04,미소야,모밀돈까츠,8500,FALSE,
2017-09-05,할매순대,순대해장라면,5000,,
2017-09-06,태양생고기,징기스칸,6000,,
2017-09-07,도마다리,뼈해장국,7000,,
2017-09-08,태양생고기,소불고기,6000,,
2017-09-09,,,,,
2017-09-10,,,,,
2017-09-11,월남선생,해물볶음밥,5900,FALSE,
2017-09-12,요리수리,백반,6000,,
2017-09-13,버거킹,"슈퍼스프림세트,너겟킹",5900,,
2017-09-14,남원추어탕,쭈꾸미돌솥밥,6000,,
2017-09-15,청원,짬뽕,5500,,
2017-09-16,,,,,
2017-09-17,,,,,
2017-09-18,센다이참치,미니정식,9900,FALSE,
2017-09-19,육부장,물냉면,6000,,
2017-09-20,시루향기,콩나물국밥,6800,,
2017-09-21,미스사이공,쌀국수곱배기,4900,,
2017-09-22,도마다리,뼈해장국,7000,,
2017-09-23,,,,,
2017-09-24,,,,,
2017-09-25,청원,간짜장,5500,FALSE,
2017-09-26,육부장,소고기전골,7000,,
2017-09-27,태양생고기,징기스칸,6000,,
2017-09-28,롯데리아,모짜새우버거세트,5500,,
2017-09-29,,,,,출장
2017-09-30,,,,,
2017-10-01,,,,,
2017-10-02,,,,,임시공휴일
2017-10-03,,,,,추석
2017-10-04,,,,,추석
2017-10-05,,,,,추석
2017-10-06,,,,,대체휴무
2017-10-07,,,,,
2017-10-08,,,,,
2017-10-09,,,,,한글날
2017-10-10,월남선생,해물볶음밥,5900,,
2017-10-11,도마다리,뼈해장국,7000,,
2017-10-12,,,,,출장
2017-10-13,청원,짬뽕,5500,,
2017-10-14,,,,,
2017-10-15,,,,,
2017-10-16,오마니국수,닭국수,6000,FALSE,
2017-10-17,육부장,제육볶음,7000,,
2017-10-18,태양생고기,징기스칸,6000,,
2017-10-19,요리수리,백반,6000,,
2017-10-20,청원,간짜장,5500,,
2017-10-21,,,,,
2017-10-22,,,,,
2017-10-23,코코빈즈,해물리조또,10000,,
2017-10-24,육부장,불고기전골,7000,,
2017-10-25,카레비,카레,8000,,
2017-10-26,,,,,출장
2017-10-27,,,,,문화의날
2017-10-28,,,,,
2017-10-29,,,,,
2017-10-30,요리수리,백반,6000,FALSE,
2017-10-31,왕가네칼국수,바지락칼국수,6000,FALSE,
2017-11-01,태양생고기,징기스칸,6000,,
2017-11-02,청원,간짜장,5500,,
2017-11-03,할매순대,순대국,6000,,
2017-11-04,,,,,
2017-11-05,,,,,
2017-11-06,청원,굴짬뽕,7500,,
2017-11-07,,,,,휴가
2017-11-08,월남선생,해물볶음밥,6900,,
2017-11-09,해오름,부대찌개,6000,,
2017-11-10,시루향기,콩나물국밥,6800,,
2017-11-11,,,,,
2017-11-12,,,,,
2017-11-13,할매순대,순대해장라면,6000,FALSE,
2017-11-14,도마다리,뼈해장국,7000,,
2017-11-15,청원,간짜장곱배기,6500,,
2017-11-16,오마니국수,닭국수,5000,,
2017-11-17,육부장,소불고기,7000,,
2017-11-18,,,,,
2017-11-19,,,,,
2017-11-20,,떡만두국,6500,,
2017-11-21,,,,,출장
2017-11-22,청원,짬뽕곱배기,6500,,
2017-11-23,요리수리,백반,6000,,
2017-11-24,육부장,김치찌개,7000,,
2017-11-25,,,,,
2017-11-26,,,,,
2017-11-27,해오름,옛날불고기,6000,FALSE,
2017-11-28,도마다리,뼈해장국,7000,,
2017-11-29,할매순대,순대해장라면,6000,,
2017-11-30,청원,짜장곱배기,6000,,
2017-12-01,,,,,휴가
2017-12-02,,,,,
2017-12-03,,,,,
2017-12-04,,,,,휴가
2017-12-05,,,,,휴가
2017-12-06,태양생고기,징기스칸,6000,,
2017-12-07,청원,볶음밥,6000,,
2017-12-08,순흥골,갈비탕,8000,,
2017-12-09,,,,,
2017-12-10,,,,,
2017-12-11,청원,굴짬뽕,7500,FALSE,
2017-12-12,요리수리,백반,6000,,
2017-12-13,할매순대,선지해장국,6000,,
2017-12-14,청원,잡채밥,7000,,
2017-12-15,태양신족발,제육볶음,6000,,
2017-12-16,,,,,
2017-12-17,,,,,
2017-12-18,청원,삼선짬뽕,7500,,
2017-12-19,할매순대,선지해장국,6000,,
2017-12-20,육부장,소불고기,7000,,
2017-12-21,도마다리,뼈해장국,7000,,
2017-12-22,국수나무,갈릭돈가스,7000,FALSE,
2017-12-23,,,,,
2017-12-24,,,,,
2017-12-25,,,,,크리스마스
2017-12-26,,,,,휴가
2017-12-27,,,,,휴가
2017-12-28,요리수리,백반,6000,,
2017-12-29,,,,,휴무
2017-12-30,,,,,
2017-12-31,,,,,